combination_mpg,displacement,Make,Model,Year,Engine HP,Number of Doors,Vehicle Size,Vehicle Style,MSRP
19,3.5,nissan,murano crosscabriolet,2014,265.0,2.0,Midsize,Convertible SUV,41995
16,5.2,audi,r8,2014,525.0,2.0,Compact,Convertible,164700
16,5.2,audi,r8,2014,430.0,2.0,Compact,Convertible,128400
16,5.2,audi,r8,2014,550.0,2.0,Compact,Coupe,179645
16,5.2,audi,r8,2014,525.0,2.0,Compact,Convertible,173800
16,5.2,audi,r8,2014,430.0,2.0,Compact,Convertible,137500
16,5.2,audi,r8,2014,525.0,2.0,Compact,Coupe,151200
16,5.2,audi,r8,2014,430.0,2.0,Compact,Coupe,124000
16,5.2,audi,r8,2014,430.0,2.0,Compact,Coupe,114900
16,5.2,audi,r8,2014,525.0,2.0,Compact,Coupe,160300
16,5.2,audi,r8,2014,550.0,2.0,Compact,Coupe,170545
17,4.2,audi,r8,2014,525.0,2.0,Compact,Convertible,164700
17,4.2,audi,r8,2014,430.0,2.0,Compact,Convertible,128400
17,4.2,audi,r8,2014,550.0,2.0,Compact,Coupe,179645
17,4.2,audi,r8,2014,525.0,2.0,Compact,Convertible,173800
17,4.2,audi,r8,2014,430.0,2.0,Compact,Convertible,137500
17,4.2,audi,r8,2014,525.0,2.0,Compact,Coupe,151200
17,4.2,audi,r8,2014,430.0,2.0,Compact,Coupe,124000
17,4.2,audi,r8,2014,430.0,2.0,Compact,Coupe,114900
17,4.2,audi,r8,2014,525.0,2.0,Compact,Coupe,160300
17,4.2,audi,r8,2014,550.0,2.0,Compact,Coupe,170545
14,5.2,audi,r8,2014,525.0,2.0,Compact,Convertible,164700
14,5.2,audi,r8,2014,430.0,2.0,Compact,Convertible,128400
14,5.2,audi,r8,2014,550.0,2.0,Compact,Coupe,179645
14,5.2,audi,r8,2014,525.0,2.0,Compact,Convertible,173800
14,5.2,audi,r8,2014,430.0,2.0,Compact,Convertible,137500
14,5.2,audi,r8,2014,525.0,2.0,Compact,Coupe,151200
14,5.2,audi,r8,2014,430.0,2.0,Compact,Coupe,124000
14,5.2,audi,r8,2014,430.0,2.0,Compact,Coupe,114900
14,5.2,audi,r8,2014,525.0,2.0,Compact,Coupe,160300
14,5.2,audi,r8,2014,550.0,2.0,Compact,Coupe,170545
14,4.2,audi,r8,2014,525.0,2.0,Compact,Convertible,164700
14,4.2,audi,r8,2014,430.0,2.0,Compact,Convertible,128400
14,4.2,audi,r8,2014,550.0,2.0,Compact,Coupe,179645
14,4.2,audi,r8,2014,525.0,2.0,Compact,Convertible,173800
14,4.2,audi,r8,2014,430.0,2.0,Compact,Convertible,137500
14,4.2,audi,r8,2014,525.0,2.0,Compact,Coupe,151200
14,4.2,audi,r8,2014,430.0,2.0,Compact,Coupe,124000
14,4.2,audi,r8,2014,430.0,2.0,Compact,Coupe,114900
14,4.2,audi,r8,2014,525.0,2.0,Compact,Coupe,160300
14,4.2,audi,r8,2014,550.0,2.0,Compact,Coupe,170545
15,5.9,aston martin,db9,2014,510.0,2.0,Midsize,Convertible,200800
15,5.9,aston martin,db9,2014,510.0,2.0,Midsize,Coupe,185800
15,5.9,aston martin,vanquish,2014,565.0,2.0,Midsize,Convertible,296295
15,5.9,aston martin,vanquish,2014,565.0,2.0,Midsize,Coupe,278295
15,5.9,aston martin,rapide s,2014,550.0,4.0,Large,Sedan,198250
19,3.8,nissan,gt-r,2015,545.0,2.0,Midsize,Coupe,111510
19,3.8,nissan,gt-r,2015,545.0,2.0,Midsize,Coupe,115710
19,3.8,nissan,gt-r,2015,545.0,2.0,Midsize,Coupe,101770
19,3.8,nissan,gt-r,2015,600.0,2.0,Midsize,Coupe,149990
30,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,24895
30,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,22895
30,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,23845
30,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,21190
30,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,29895
32,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,24895
32,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,22895
32,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,23845
32,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,21190
32,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,29895
29,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,24895
29,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,22895
29,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,23845
29,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,21190
29,2.5,mazda,6,2015,184.0,4.0,Midsize,Sedan,29895
21,3.8,kia,k900,2015,420.0,4.0,Large,Sedan,59900
21,3.8,kia,k900,2015,420.0,4.0,Large,Sedan,54500
18,5.0,kia,k900,2015,420.0,4.0,Large,Sedan,59900
18,5.0,kia,k900,2015,420.0,4.0,Large,Sedan,54500
24,2.0,subaru,wrx,2015,305.0,4.0,Compact,Sedan,37395
24,2.0,subaru,wrx,2015,268.0,4.0,Compact,Sedan,31195
24,2.0,subaru,wrx,2015,305.0,4.0,Compact,Sedan,38495
24,2.0,subaru,wrx,2015,305.0,4.0,Compact,Sedan,34495
24,2.0,subaru,wrx,2015,268.0,4.0,Compact,Sedan,29995
24,2.0,subaru,wrx,2015,268.0,4.0,Compact,Sedan,29695
24,2.0,subaru,wrx,2015,268.0,4.0,Compact,Sedan,26295
24,2.0,subaru,wrx,2015,268.0,4.0,Compact,Sedan,28495
19,2.5,subaru,wrx,2015,305.0,4.0,Compact,Sedan,37395
19,2.5,subaru,wrx,2015,268.0,4.0,Compact,Sedan,31195
19,2.5,subaru,wrx,2015,305.0,4.0,Compact,Sedan,38495
19,2.5,subaru,wrx,2015,305.0,4.0,Compact,Sedan,34495
19,2.5,subaru,wrx,2015,268.0,4.0,Compact,Sedan,29995
19,2.5,subaru,wrx,2015,268.0,4.0,Compact,Sedan,29695
19,2.5,subaru,wrx,2015,268.0,4.0,Compact,Sedan,26295
19,2.5,subaru,wrx,2015,268.0,4.0,Compact,Sedan,28495
30,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,22995
30,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,24995
30,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,21495
30,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,30195
30,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,23945
32,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,22995
32,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,24995
32,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,21495
32,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,30195
32,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,23945
29,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,22995
29,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,24995
29,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,21495
29,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,30195
29,2.5,mazda,6,2016,184.0,4.0,Midsize,Sedan,23945
14,6.8,bentley,mulsanne,2016,505.0,4.0,Large,Sedan,303700
14,6.8,bentley,mulsanne,2016,530.0,4.0,Large,Sedan,335600
31,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
31,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
31,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23950
31,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,21600
31,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
31,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
31,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
31,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
31,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
31,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
30,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
30,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
30,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23950
30,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,21600
30,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
30,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
30,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
30,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
30,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
30,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
27,2.0,hyundai,elantra gt,2016,173.0,4.0,Compact,4dr Hatchback,18800
27,2.0,hyundai,elantra gt,2016,173.0,4.0,Compact,4dr Hatchback,19800
112,,mitsubishi,i-miev,2016,66.0,4.0,Compact,4dr Hatchback,22995
29,2.4,acura,ilx,2016,201.0,4.0,Compact,Sedan,34890
29,2.4,acura,ilx,2016,201.0,4.0,Compact,Sedan,29900
29,2.4,acura,ilx,2016,201.0,4.0,Compact,Sedan,29200
29,2.4,acura,ilx,2016,201.0,4.0,Compact,Sedan,31890
29,2.4,acura,ilx,2016,201.0,4.0,Compact,Sedan,32900
29,2.4,acura,ilx,2016,201.0,4.0,Compact,Sedan,27900
27,2.0,hyundai,elantra gt,2016,173.0,4.0,Compact,4dr Hatchback,18800
27,2.0,hyundai,elantra gt,2016,173.0,4.0,Compact,4dr Hatchback,19800
23,3.5,acura,rlx,2016,310.0,4.0,Midsize,Sedan,54450
23,3.5,acura,rlx,2016,377.0,4.0,Midsize,Sedan,59950
23,3.5,acura,rlx,2016,310.0,4.0,Midsize,Sedan,60450
23,3.5,acura,rlx,2016,377.0,4.0,Midsize,Sedan,65950
23,3.5,acura,rlx,2016,310.0,4.0,Midsize,Sedan,50950
19,3.8,nissan,gt-r,2016,545.0,2.0,Midsize,Coupe,111510
19,3.8,nissan,gt-r,2016,600.0,2.0,Midsize,Coupe,149990
19,3.8,nissan,gt-r,2016,545.0,2.0,Midsize,Coupe,101770
29,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
29,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
29,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23950
29,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,21600
29,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
29,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
29,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
29,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
29,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
29,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
28,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
28,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
28,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23950
28,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,21600
28,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,19100
28,1.6,hyundai,veloster,2016,132.0,3.0,Compact,2dr Hatchback,18000
28,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
28,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
28,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,23800
28,1.6,hyundai,veloster,2016,201.0,3.0,Compact,2dr Hatchback,22600
18,5.0,hyundai,equus,2016,429.0,4.0,Large,Sedan,68750
18,5.0,hyundai,equus,2016,429.0,4.0,Large,Sedan,61500
20,3.3,kia,sedona,2016,276.0,4.0,Midsize,Passenger Minivan,28500
20,3.3,kia,sedona,2016,276.0,4.0,Midsize,Passenger Minivan,26400
20,3.3,kia,sedona,2016,276.0,4.0,Midsize,Passenger Minivan,39900
20,3.3,kia,sedona,2016,276.0,4.0,Midsize,Passenger Minivan,32700
20,3.3,kia,sedona,2016,276.0,4.0,Midsize,Passenger Minivan,36400
20,3.6,porsche,cayenne,2016,440.0,4.0,Midsize,4dr SUV,95500
20,3.6,porsche,cayenne,2016,420.0,4.0,Midsize,4dr SUV,74800
20,3.6,porsche,cayenne,2016,520.0,4.0,Midsize,4dr SUV,114700
20,3.6,porsche,cayenne,2016,300.0,4.0,Midsize,4dr SUV,58300
20,3.6,porsche,cayenne,2016,570.0,4.0,Midsize,4dr SUV,157300
20,3.6,porsche,cayenne,2016,240.0,4.0,Midsize,4dr SUV,62300
21,3.0,audi,q7,2017,333.0,4.0,Large,4dr SUV,58800
21,3.0,audi,q7,2017,333.0,4.0,Large,4dr SUV,64300
21,3.0,audi,q7,2017,333.0,4.0,Large,4dr SUV,54800
32,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,18150
32,2.0,hyundai,elantra,2017,147.0,4.0,Compact,Sedan,22350
