combination_mpg,displacement,Engine HP,Number of Doors,Vehicle Size,Vehicle Style,MSRP
19,3.5,265.0,2.0,Midsize,Convertible SUV,41995
16,5.2,525.0,2.0,Compact,Convertible,164700
16,5.2,430.0,2.0,Compact,Convertible,128400
16,5.2,550.0,2.0,Compact,Coupe,179645
16,5.2,525.0,2.0,Compact,Convertible,173800
16,5.2,430.0,2.0,Compact,Convertible,137500
16,5.2,525.0,2.0,Compact,Coupe,151200
16,5.2,430.0,2.0,Compact,Coupe,124000
16,5.2,430.0,2.0,Compact,Coupe,114900
16,5.2,525.0,2.0,Compact,Coupe,160300
16,5.2,550.0,2.0,Compact,Coupe,170545
17,4.2,525.0,2.0,Compact,Convertible,164700
17,4.2,430.0,2.0,Compact,Convertible,128400
17,4.2,550.0,2.0,Compact,Coupe,179645
17,4.2,525.0,2.0,Compact,Convertible,173800
17,4.2,430.0,2.0,Compact,Convertible,137500
17,4.2,525.0,2.0,Compact,Coupe,151200
17,4.2,430.0,2.0,Compact,Coupe,124000
17,4.2,430.0,2.0,Compact,Coupe,114900
17,4.2,525.0,2.0,Compact,Coupe,160300
17,4.2,550.0,2.0,Compact,Coupe,170545
14,5.2,525.0,2.0,Compact,Convertible,164700
14,5.2,430.0,2.0,Compact,Convertible,128400
14,5.2,550.0,2.0,Compact,Coupe,179645
14,5.2,525.0,2.0,Compact,Convertible,173800
14,5.2,430.0,2.0,Compact,Convertible,137500
14,5.2,525.0,2.0,Compact,Coupe,151200
14,5.2,430.0,2.0,Compact,Coupe,124000
14,5.2,430.0,2.0,Compact,Coupe,114900
14,5.2,525.0,2.0,Compact,Coupe,160300
14,5.2,550.0,2.0,Compact,Coupe,170545
14,4.2,525.0,2.0,Compact,Convertible,164700
14,4.2,430.0,2.0,Compact,Convertible,128400
14,4.2,550.0,2.0,Compact,Coupe,179645
14,4.2,525.0,2.0,Compact,Convertible,173800
14,4.2,430.0,2.0,Compact,Convertible,137500
14,4.2,525.0,2.0,Compact,Coupe,151200
14,4.2,430.0,2.0,Compact,Coupe,124000
14,4.2,430.0,2.0,Compact,Coupe,114900
14,4.2,525.0,2.0,Compact,Coupe,160300
14,4.2,550.0,2.0,Compact,Coupe,170545
15,5.9,510.0,2.0,Midsize,Convertible,200800
15,5.9,510.0,2.0,Midsize,Coupe,185800
15,5.9,565.0,2.0,Midsize,Convertible,296295
15,5.9,565.0,2.0,Midsize,Coupe,278295
15,5.9,550.0,4.0,Large,Sedan,198250
19,3.8,545.0,2.0,Midsize,Coupe,111510
19,3.8,545.0,2.0,Midsize,Coupe,115710
19,3.8,545.0,2.0,Midsize,Coupe,101770
19,3.8,600.0,2.0,Midsize,Coupe,149990
30,2.5,184.0,4.0,Midsize,Sedan,24895
30,2.5,184.0,4.0,Midsize,Sedan,22895
30,2.5,184.0,4.0,Midsize,Sedan,23845
30,2.5,184.0,4.0,Midsize,Sedan,21190
30,2.5,184.0,4.0,Midsize,Sedan,29895
32,2.5,184.0,4.0,Midsize,Sedan,24895
32,2.5,184.0,4.0,Midsize,Sedan,22895
32,2.5,184.0,4.0,Midsize,Sedan,23845
32,2.5,184.0,4.0,Midsize,Sedan,21190
32,2.5,184.0,4.0,Midsize,Sedan,29895
29,2.5,184.0,4.0,Midsize,Sedan,24895
29,2.5,184.0,4.0,Midsize,Sedan,22895
29,2.5,184.0,4.0,Midsize,Sedan,23845
29,2.5,184.0,4.0,Midsize,Sedan,21190
29,2.5,184.0,4.0,Midsize,Sedan,29895
21,3.8,420.0,4.0,Large,Sedan,59900
21,3.8,420.0,4.0,Large,Sedan,54500
18,5.0,420.0,4.0,Large,Sedan,59900
18,5.0,420.0,4.0,Large,Sedan,54500
24,2.0,305.0,4.0,Compact,Sedan,37395
