combination_mpg,cylinders,displacement,Make,Model,Year,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,MSRP
19,6.0,3.5,nissan,murano crosscabriolet,2014,265.0,6.0,AUTOMATIC,all wheel drive,2.0,Crossover,Midsize,Convertible SUV,41995
16,10.0,5.2,audi,r8,2014,525.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,164700
16,10.0,5.2,audi,r8,2014,430.0,8.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,128400
16,10.0,5.2,audi,r8,2014,550.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,179645
16,10.0,5.2,audi,r8,2014,525.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,173800
16,10.0,5.2,audi,r8,2014,430.0,8.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,137500
16,10.0,5.2,audi,r8,2014,525.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,151200
16,10.0,5.2,audi,r8,2014,430.0,8.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,124000
16,10.0,5.2,audi,r8,2014,430.0,8.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,114900
16,10.0,5.2,audi,r8,2014,525.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,160300
16,10.0,5.2,audi,r8,2014,550.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,170545
17,8.0,4.2,audi,r8,2014,525.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,164700
17,8.0,4.2,audi,r8,2014,430.0,8.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,128400
17,8.0,4.2,audi,r8,2014,550.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,179645
17,8.0,4.2,audi,r8,2014,525.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,173800
17,8.0,4.2,audi,r8,2014,430.0,8.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,137500
17,8.0,4.2,audi,r8,2014,525.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,151200
17,8.0,4.2,audi,r8,2014,430.0,8.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,124000
17,8.0,4.2,audi,r8,2014,430.0,8.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,114900
17,8.0,4.2,audi,r8,2014,525.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,160300
17,8.0,4.2,audi,r8,2014,550.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,170545
14,10.0,5.2,audi,r8,2014,525.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,164700
14,10.0,5.2,audi,r8,2014,430.0,8.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,128400
14,10.0,5.2,audi,r8,2014,550.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,179645
14,10.0,5.2,audi,r8,2014,525.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,173800
14,10.0,5.2,audi,r8,2014,430.0,8.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,137500
14,10.0,5.2,audi,r8,2014,525.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,151200
14,10.0,5.2,audi,r8,2014,430.0,8.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,124000
14,10.0,5.2,audi,r8,2014,430.0,8.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,114900
14,10.0,5.2,audi,r8,2014,525.0,10.0,AUTOMATED_MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,160300
14,10.0,5.2,audi,r8,2014,550.0,10.0,MANUAL,all wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,170545
